Ticker,StartDate,EndDate,InitialCapital,FinalValue,ReturnPct,WinRate,TotalTrades
INFY.NS,2025-07-28,2026-01-01,100000,99462.23388671875,-0.53776611328125,0.0,1
HINDUNILVR.NS,2025-07-28,2026-01-01,100000,97703.80419921875,-2.29619580078125,0.0,1
ICICIBANK.NS,2025-07-28,2026-01-01,100000,98751.70178222656,-1.2482982177734374,0.0,1
BHARTIARTL.NS,2025-07-28,2026-01-01,100000,100000.0,0.0,0,0
ITC.NS,2025-07-28,2026-01-01,100000,100000.0,0.0,0.0,1
BAJFINANCE.NS,2025-07-28,2026-01-01,100000,100000.0,0.0,0,0
WIPRO.NS,2025-07-28,2026-01-01,100000,100000.0,0.0,0,0
HCLTECH.NS,2025-07-28,2026-01-01,100000,100000.0,0.0,0,0
SBIN.NS,2025-07-28,2026-01-01,100000,100000.0,0.0,0,0
LT.NS,2025-07-28,2026-01-01,100000,100000.0,0.0,0,0
AXISBANK.NS,2025-07-28,2026-01-01,100000,101899.99999999999,1.9,100.0,1
ASIANPAINT.NS,2025-07-28,2026-01-01,100000,99991.6123046875,-0.008387695312499999,0.0,1
RELIANCE.NS,2025-07-28,2026-01-01,100000,100000.0,0.0,0,0
HDFCBANK.NS,2025-07-28,2026-01-01,100000,101606.50512695312,1.6065051269531248,100.0,1
TCS.NS,2025-07-28,2026-01-01,100000,99898.37353515625,-0.10162646484375001,0.0,1
INFY.NS,2025-07-28,2026-01-01,100000,99462.23388671875,-0.53776611328125,0.0,1
HINDUNILVR.NS,2025-07-28,2026-01-01,100000,97703.80419921875,-2.29619580078125,0.0,1
ICICIBANK.NS,2025-07-28,2026-01-01,100000,98751.70178222656,-1.2482982177734374,0.0,1
BHARTIARTL.NS,2025-07-28,2026-01-01,100000,100000.0,0.0,0,0
ITC.NS,2025-07-28,2026-01-01,100000,100000.0,0.0,0.0,1
BAJFINANCE.NS,2025-07-28,2026-01-01,100000,100000.0,0.0,0,0
WIPRO.NS,2025-07-28,2026-01-01,100000,100000.0,0.0,0,0
HCLTECH.NS,2025-07-28,2026-01-01,100000,100000.0,0.0,0,0
SBIN.NS,2025-07-28,2026-01-01,100000,100000.0,0.0,0,0
LT.NS,2025-07-28,2026-01-01,100000,100000.0,0.0,0,0
AXISBANK.NS,2025-07-28,2026-01-01,100000,101899.99999999999,1.9,100.0,1
ASIANPAINT.NS,2025-07-28,2026-01-01,100000,99991.6123046875,-0.008387695312499999,0.0,1
